Question,Réponse,Catégorie,Lien
"Que fait BIRA Entreprise ?","BIRA Entreprise est spécialisée dans la confection et la vente de ballons de sport de haute qualité, ainsi que dans des services de personnalisation, branding, et organisation de tournois sportifs.","À Propos","/about"
"Quels types de ballons fabriquez-vous ?","BIRA Entreprise fabrique différents types de ballons : ballons de football (match et entraînement), ballons de basketball (indoor et outdoor), ballons de volley (standard et junior), et ballons de rugby. Chaque type est disponible en différentes tailles et qualités.","Produits","/products"
"Quels sont les services de BIRA Entreprise ?","BIRA Entreprise offre la fabrication de ballons personnalisés, la vente en gros et au détail, le branding pour entreprises, la réparation de ballons, et l'organisation de tournois sportifs.","Services","/services"
"Où est basée BIRA Entreprise ?","BIRA Entreprise est basée à Antsirabe, Madagascar, avec des filiales à Antananarivo, Antsiranana, Tamatave, Toliara, Majunga, et Fianarantsoa.","Zones","/zones"
"Comment contacter BIRA Entreprise ?","Vous pouvez nous contacter via notre formulaire en ligne, par email à contact@bira-entreprise.com, ou par téléphone au +261 34 123 4567.","Contact","/contact"
"Quelles sont les valeurs de BIRA Entreprise ?","Nos valeurs sont la qualité, la durabilité, l'innovation, l'accessibilité, et l'esprit communautaire.","Valeurs","/about"
"Combien coûtent vos ballons en général ?","Nos ballons varient selon le sport : Football (25 000-50 000 MGA), Basketball (35 000-75 000 MGA), Volley (30 000-60 000 MGA), Rugby (35 000-60 000 MGA), Tennis (15 000-20 000 MGA par lot), Golf (20 000-25 000 MGA par lot), Handball (25 000-50 000 MGA). Consultez notre catalogue pour plus de détails.","Prix-Général","/products"
"Quel est le prix des balles de tennis ?","Nos balles de tennis coûtent 20 000 MGA par lot de 3 pour les modèles standard et 15 000 MGA par lot pour les modèles junior.","Prix-Tennis","/products/tennis"
"Combien coûtent les balles de golf ?","Nos balles de golf coûtent 25 000 MGA par lot de 6 pour les modèles standard et 20 000 MGA par lot pour les modèles d'entraînement.","Prix-Golf","/products/golf"
"Quel est le coût d’un ballon de handball ?","Nos ballons de handball coûtent 50 000 MGA pour les modèles de match, 35 000 MGA pour les modèles d'entraînement, et 25 000 MGA pour les modèles junior.","Prix-Handball","/products/handball"
"Combien coûte un ballon de football ?","Nos ballons de football coûtent 50 000 MGA pour les modèles de match professionnels, 35 000 MGA pour les modèles d'entraînement, et 25 000 MGA pour les modèles junior.","Prix-Football","/products/football"
"Quel est le prix d’un ballon de basketball ?","Nos ballons de basketball coûtent 75 000 MGA pour les modèles indoor professionnels, 55 000 MGA pour les modèles outdoor, et 35 000 MGA pour les modèles d'entraînement.","Prix-Basketball","/products/basketball"
"Combien coûte un ballon de volley ?","Nos ballons de volley coûtent 45 000 MGA pour les modèles standard, 30 000 MGA pour les modèles junior, et 60 000 MGA pour les modèles de compétition.","Prix-Volleyball","/products/volleyball"
"Quel est le prix d’un ballon de rugby ?","Nos ballons de rugby coûtent 60 000 MGA pour les modèles de match, 45 000 MGA pour les modèles d'entraînement, et 35 000 MGA pour les modèles junior.","Prix-Rugby","/products/rugby"
"Combien coûte la personnalisation ?","La personnalisation coûte 10 000 MGA supplémentaires par ballon, quel que soit le type.","Services","/services/customization"
"Quelles sont les méthodes de livraison ?","BIRA Entreprise propose une livraison locale à Madagascar (3-5 jours, 5 000-10 000 MGA selon la ville), une livraison express (1-2 jours, +15 000 MGA), ou un retrait dans nos filiales.","Services","/delivery"
"Quels sont les délais de livraison ?","La livraison standard prend 3-5 jours, et la livraison express 1-2 jours, selon la ville (Antananarivo, Antsiranana, Tamatave, Toliara, Majunga, Fianarantsoa).","Services","/delivery"
